Date,AAPL,GOOGL,MSFT
2022-01-04,-0.012691514055300335,-0.00408296511015438,-0.01714706163444124
2022-01-05,-0.026600002360787522,-0.04587627700334107,-0.038387844379585534
2022-01-06,-0.016693185336105754,-0.00019957422688243742,-0.007901914245241115
2022-01-07,0.0009881981014585595,-0.005303176322803194,0.0005097261173980794
2022-01-10,0.00011632763217828135,0.012060520654384899,0.0007322903874078524
2022-01-11,0.016783776726914112,0.007690933074995465,0.002259231927962402
2022-01-12,0.0025702246549828,0.012126466164461114,0.01044519839504332
2022-01-13,-0.019028049724511664,-0.020105215470974658,-0.042322559036377494
2022-01-14,0.005110500628212167,0.006447167599712866,0.01771667922798681
2022-01-18,-0.018894062217603924,-0.024967634810831307,-0.024339293278374585
2022-01-19,-0.02102474768112128,-0.006481714709184017,0.0022467957142320305
2022-01-20,-0.010347051575752442,-0.013388488643980012,-0.005703352376406956
2022-01-21,-0.01276519407349963,-0.02217424946545732,-0.018468207329002784
2022-01-24,-0.004864211682739428,0.0034713784234428058,0.0011485200156473585
2022-01-25,-0.011384762518502622,-0.029578631162836988,-0.026588317915738457
2022-01-26,-0.0005633451620425944,0.018103786934961397,0.028493104055465235
2022-01-27,-0.0029431547708426153,-0.0017642306775887961,0.010549141520794114
2022-01-28,0.06977766815351272,0.033688561509222614,0.028081711463949777
2022-01-31,0.026125724918703908,0.014641805611004477,0.008823624874928493
2022-02-01,-0.0009726561383528454,0.017298147678254328,-0.0071385644939432336
2022-02-02,0.007044273853606509,0.07523759131422758,0.0152221076715231
2022-02-03,-0.01671974557091338,-0.033175700419657894,-0.03895245659355695
2022-02-04,-0.0016793178537980458,0.0014187080500591698,0.015568376863912103
2022-02-07,-0.004234564960406417,-0.028556839902671216,-0.01631032176520375
2022-02-08,0.018466627055995888,0.0014223895025549105,0.01199529263184429
2022-02-09,0.008293769886542401,0.015731770898040898,0.02183488645952325
2022-02-10,-0.02359880464584374,-0.020989888002131196,-0.028373100531662643
2022-02-11,-0.020218359820109222,-0.031290535631728456,-0.02427408993226121
2022-02-14,0.001423155821179689,0.009260326137473296,-0.00013554259742742936
2022-02-15,0.023152365327073765,0.007987428719660628,0.01854233328381949
2022-02-16,-0.001388886421020974,0.008268162664648582,-0.0011673139753937134
2022-02-17,-0.02126911685407673,-0.03774561034820989,-0.029282087099965937
2022-02-18,-0.00935580955286297,-0.016116022931413454,-0.009630924618158732
2022-02-22,-0.017812189310942972,-0.004520546294206285,-0.0007292981121089781
2022-02-23,-0.02586426520466345,-0.017143898917867162,-0.02589334065662885
2022-02-24,0.016680152252051217,0.039995900309593546,0.051093580687139095
2022-02-25,0.012965529081388594,0.01332802516824616,0.009233374172955777
2022-02-28,0.0016377430156131467,0.00444374438403905,0.004977813673833653
2022-03-01,-0.01162786373483593,-0.007371064555169227,-0.012851765325688325
2022-03-02,0.02058822837765706,0.0038042972259726415,0.017765805069821727
2022-03-03,-0.0019812072866695063,-0.004993606052558941,-0.014224318821845383
2022-03-04,-0.018408352660499783,-0.014884382623012615,-0.020478720966947805
2022-03-07,-0.023717485549133,-0.041908416143952576,-0.03777678099932835
2022-03-08,-0.011676179991488844,0.0057446315151337135,-0.010971286335148878
2022-03-09,0.03499745511346686,0.04968744899786248,0.04585834942607936
2022-03-10,-0.02718612682739152,-0.007423877889428776,-0.010086707292361718
2022-03-11,-0.023908762688822804,-0.01932353178398183,-0.019328395396371212
2022-03-14,-0.026562487753398645,-0.03018008168772579,-0.012961016600030684
2022-03-15,0.029677539686462806,0.02577988059471137,0.03874248861587204
2022-03-16,0.02901528381448304,0.03159881990570579,0.02521335504204325
2022-03-17,0.006454170359623923,0.004190426863244223,0.002819261885582902
2022-03-18,0.02091893050671545,0.017083951212098825,0.017647991547202535
2022-03-21,0.008537537285082442,-0.00017632313248527876,-0.004227267397973411
2022-03-22,0.020800730858566707,0.027674160170447992,0.016379161155543498
2022-03-23,0.0082334811380127,-0.011385726702194288,-0.015030036051775664
2022-03-24,0.02267788965734696,0.02384015136576023,0.015393049867431063
2022-03-25,0.003734138378127083,0.000713403217891484,-0.0013812403842665688
2022-03-28,0.0050366805652399815,-0.0015352168227193985,0.0231164793645664
2022-03-29,0.019134476090166164,0.0074227425098387645,0.015159229085898618
2022-03-30,-0.006649593552075617,-0.00397869633931669,-0.004914241853352208
2022-03-31,-0.01777579392938944,-0.02022708464621148,-0.01768298544211
2022-04-01,-0.0017182536936871662,0.007787531347625221,0.0036002604413949424
2022-04-04,0.023693514502023172,0.02012835628204246,0.01793682492025117
2022-04-05,-0.018942035456471773,-0.01665012412244471,-0.012985353502789287
2022-04-06,-0.018450757568782117,-0.02875716915938442,-0.03660585153574314
2022-04-07,0.001804123826468551,-0.0048298041862548935,0.006243754290709669
2022-04-08,-0.011908924639443819,-0.01914067671436448,-0.014600045626740332
2022-04-11,-0.025515936562237607,-0.033491545060004846,-0.039431337319673965
2022-04-12,0.011523559149908102,-0.008608686660482978,-0.011217952699865474
2022-04-13,0.016342466818298762,0.01706538222242271,0.019711996972276324
2022-04-14,-0.02998830730517299,-0.024358276008421775,-0.027084259688830215
2022-04-18,-0.0013308913535713396,0.007468594895295277,0.002465753666032855
2022-04-19,0.014115089059778319,0.01826886154814744,0.017039853108578473
2022-04-20,-0.001015436691882754,-0.015145177324192738,0.003715318223767694
2022-04-21,-0.004843580103721545,-0.025191303919842922,-0.019381241468728216
2022-04-22,-0.02782129893916807,-0.04149358367880651,-0.024144365765939035
2022-04-25,0.0067373075344723254,0.02874146475602357,0.0244133609531072
