,Baseline DJIA,Baseline Max Sharpe,EXPERIMENT_6_1678606705_1850000,EXPERIMENT_6_1678606705_2250000,EXPERIMENT_6_1678606705_2950000,EXPERIMENT_8_1678691302_1000000,EXPERIMENT_8_1678691302_2560000,EXPERIMENT_9_1678768311_1000000
2010-01-04,,,,,,,,
2010-01-05,-0.001128162779486,,,,,,,
2010-01-06,0.0001570330290341,,,,,,,
2010-01-07,0.0031380432397365,,,,,,,
2010-01-08,0.0010681839629698,,,,,,,
2010-01-11,0.0043133342720476,,,,,,,
2010-01-12,-0.0034443456851264,,,,,,,
2010-01-13,0.0050351423419687,,,,,,,
2010-01-14,0.0027882142153117,,,,,,,
2010-01-15,-0.0094205634540199,,,,,,,
2010-01-19,0.0109126401542227,,,,,,,
2010-01-20,-0.0114008762760815,,,,,,,
2010-01-21,-0.0201138812480738,,,,,,,
2010-01-22,-0.0208760271060791,,,,,,,
2010-01-25,0.0023473831377005,,,,,,,
2010-01-26,-0.0002520690105956,,,,,,,
2010-01-27,0.0041072126677839,,,,,,,
2010-01-28,-0.011303085683146,,,,,,,
2010-01-29,-0.0052497498154795,,,,,,,
2010-02-01,0.0117409675053103,,,,,,,
2010-02-02,0.0109291645058289,,,,,,,
2010-02-03,-0.0025541603194393,,,,,,,
2010-02-04,-0.0261300633647689,,,,,,,
2010-02-05,0.0010048590971187,,,,,,,
2010-02-08,-0.0103713973261608,,,,,,,
2010-02-09,0.0151639171783775,,,,,,,
2010-02-10,-0.0020141655664289,,,,,,,
2010-02-11,0.0105405999882677,,,,,,,
2010-02-12,-0.0044410425417642,,,,,,,
2010-02-16,0.0168004332825768,,,,,,,
2010-02-17,0.0039372298985256,,,,,,,
2010-02-18,0.0081150651598014,,,,,,,
2010-02-19,0.0009091993952452,,,,,,,
2010-02-22,-0.0018236001744648,,,,,,,
2010-02-23,-0.0097241676315468,,,,,,,
2010-02-24,0.0089230052687823,,,,,,,
2010-02-25,-0.0051213671287396,,,,,,,
2010-02-26,0.0004097936034919,,,,,,,
2010-03-01,0.0076056462713842,,,,,,,
2010-03-02,0.0002105415122062,,,,,,,
2010-03-03,-0.0008860965242718,,,,,,,
2010-03-04,0.0045571778016024,,,,,,,
2010-03-05,0.011686989161741,,,,,,,
2010-03-08,-0.0012947572267814,,,,,,,
2010-03-09,0.0011239355233958,,,,,,,
2010-03-10,0.0002792587303017,,,,,,,
2010-03-11,0.0042120162137395,,,,,,,
2010-03-12,0.0012109668188282,,,,,,,
2010-03-15,0.0016433383215301,,,,,,,
2010-03-16,0.0041185358706836,,,,,,,
2010-03-17,0.0044628055670195,,,,,,,
2010-03-18,0.004238997503293,,,,,,,
2010-03-19,-0.00345012217031,,,,,,,
2010-03-22,0.0040876242342124,,,,,,,
2010-03-23,0.0095439906250489,,,,,,,
2010-03-24,-0.0048379566144419,,,,,,,
2010-03-25,0.0004669158446599,,,,,,,
2010-03-26,0.0008440377649698,,,,,,,
2010-03-29,0.0041934091150666,,,,,,,
2010-03-30,0.0010609139562662,,,,,,,
2010-03-31,-0.0046564668295789,,,,,,,
2010-04-01,0.0064882408673632,,,,,,,
2010-04-05,0.0042536096920993,,,,,,,
2010-04-06,-0.0003243772868265,,,,,,,
2010-04-07,-0.0066062687000312,,,,,,,
2010-04-08,0.0027116979387151,,,,,,,
2010-04-09,0.0064316687698626,,,,,,,
2010-04-12,0.0007838358780694,,,,,,,
2010-04-13,0.0012220818016643,,,,,,,
2010-04-14,0.0094097902087986,,,,,,,
2010-04-15,0.0019293129582667,,,,,,,
2010-04-16,-0.0112978924013585,,,,,,,
2010-04-19,0.0066604875181555,,,,,,,
2010-04-20,0.0022547469643015,,,,,,,
2010-04-21,0.0007070531117321,,,,,,,
2010-04-22,0.0008422637873621,,,,,,,
2010-04-23,0.0062860078307152,,,,,,,
2010-04-26,6.693870393248424e-05,,,,,,,
2010-04-27,-0.0190128927690208,,,,,,,
2010-04-28,0.0048471019113882,,,,,,,
2010-04-29,0.0110500500603163,,,,,,,
2010-04-30,-0.0142120004169532,,,,,,,
2010-05-03,0.0130097916075457,,,,,,,
2010-05-04,-0.0201814899705538,,,,,,,
2010-05-05,-0.0054855602979065,,,,,,,
2010-05-06,-0.0318869222334236,,,,,,,
2010-05-07,-0.0132971830557083,,,,,,,
2010-05-10,0.0389877850070934,,,,,,,
2010-05-11,-0.0034195090666111,,,,,,,
2010-05-12,0.0138301821752031,,,,,,,
2010-05-13,-0.0104580068389512,,,,,,,
2010-05-14,-0.0150969851584094,,,,,,,
2010-05-17,0.0005338828973933,,,,,,,
2010-05-18,-0.0108113796256725,,,,,,,
2010-05-19,-0.0063343538774156,,,,,,,
2010-05-20,-0.036034758184522,,,,,,,
2010-05-21,0.0124532937225172,,,,,,,
2010-05-24,-0.0124413311284474,,,,,,,
2010-05-25,-0.0022669401585228,,,,,,,
2010-05-26,-0.0068997938705662,,,,,,,
2010-05-27,0.0285268895518893,,,,,,,
2010-05-28,-0.0119271340324026,,,,,,,
2010-06-01,-0.0111092496090283,,,,,,,
2010-06-02,0.0224980116119524,,,,,,,
2010-06-03,0.0005600479975806,,,,,,,
2010-06-04,-0.031526251672752,,,,,,,
2010-06-07,-0.0116270483465789,,,,,,,
2010-06-08,0.0125798764554938,,,,,,,
2010-06-09,-0.0040976407225398,,,,,,,
2010-06-10,0.0276061593997019,,,,,,,
2010-06-11,0.0037886384239265,,,,,,,
2010-06-14,-0.0019763514935153,,,,,,,
2010-06-15,0.0209873612796203,,,,,,,
2010-06-16,0.0004507961155133,,,,,,,
2010-06-17,0.002373798547689,,,,,,,
2010-06-18,0.001578441475059,,,,,,,
2010-06-21,-0.000787463013207,,,,,,,
2010-06-22,-0.0142582624865472,,,,,,,
2010-06-23,0.0004780579103735,,,,,,,
2010-06-24,-0.0141420078112176,,,,,,,
2010-06-25,-0.0008854931199223,,,,,,,
2010-06-28,-0.0005215041770877,,,,,,,
2010-06-29,-0.0264555121421589,,,,,,,
2010-06-30,-0.0097545439695535,,,,,,,
2010-07-01,-0.004244851125972,,,,,,,
2010-07-02,-0.0047315346979378,,,,,,,
2010-07-06,0.0058989071027233,0.0,,,,,,
2010-07-07,0.0281887176374524,0.0394315939905347,,,,,,
2010-07-08,0.012048970246675,-0.0022419703965785,,,,,,
2010-07-09,0.0058230689346492,0.0059281409610574,,,,,,
2010-07-12,0.0017885079101997,-0.0089750035604062,,,,,,
2010-07-13,0.0143643430266904,-0.0213375695209108,,,,,,
2010-07-14,0.0003570576414857,0.0036931587568593,,,,,,
2010-07-15,-0.0007148024105458,-0.00506447455417,,,,,,
2010-07-16,-0.0252342280065306,-0.0061639780104618,,,,,,
2010-07-19,0.0055981238364644,-0.0172872024057065,,,,,,
2010-07-20,0.007438160070228,0.0256945006030637,,,,,,
2010-07-21,-0.0106969810163334,0.0093293951895183,,,,,,
2010-07-22,0.0199366560643139,0.0188010624468906,,,,,,
2010-07-23,0.0099125499584438,0.003551393797912,,,,,,
2010-07-26,0.0096703351469173,-0.0025389145640856,,,,,,
2010-07-27,0.0011648685660843,0.0185131091970448,,,,,,
2010-07-28,-0.00377791956792,-0.0119012753191174,,,,,,
2010-07-29,-0.0029262791063932,-0.0109215252180321,,,,,,
2010-07-30,-0.000116528890768,-0.0029613383275008,,,,,,
2010-08-02,0.019915979316464,0.0178812797906993,,,,,,
2010-08-03,-0.0035599257677896,0.0003057111186288,,,,,,
2010-08-04,0.0041414283029399,0.0040087242680447,,,,,,
2010-08-05,-0.0005102059476481,-0.0048674361962858,,,,,,
2010-08-06,-0.0020066452112215,-0.0061518936899062,,,,,,
2010-08-09,0.0042418150843619,0.0063824341053983,,,,,,
2010-08-10,-0.0050940530435799,-0.0088625928353098,,,,,,
2010-08-11,-0.0249355212321206,-0.0354400029608904,,,,,,
2010-08-12,-0.0056730751317143,0.006394844247349,,,,,,
2010-08-13,-0.0016278959073979,-0.0106831796008368,,,,,,
2010-08-16,-0.0001107064302426,-0.0058616610214278,,,,,,
2010-08-17,0.0100795714731785,0.017485708247959,,,,,,
2010-08-18,0.0009312482931493,0.0043650973010656,,,,,,
2010-08-19,-0.0138571862412993,-0.0126049060630794,,,,,,
2010-08-20,-0.0056069191428294,-0.0009605642575802,,,,,,
2010-08-23,-0.0038389875957416,-0.0153825484900662,,,,,,
2010-08-24,-0.0131663613792107,-0.0238807863791892,,,,,,
2010-08-25,0.0019530374254688,0.0123369945992426,,,,,,
2010-08-26,-0.0073806720010995,-0.010745702626362,,,,,,
2010-08-27,0.0165075068928379,0.0055768667425768,,,,,,
2010-08-30,-0.0138828465617485,0.0021835754844327,,,,,,
2010-08-31,0.0004984407750114,0.0037933907881646,,,,,,
2010-09-01,0.0254375566122249,0.0292522647263399,,,,,,
2010-09-02,0.0049301360401836,0.0073502954217801,,,,,,
2010-09-03,0.0123865159216949,0.024016293651219,,,,,,
2010-09-07,-0.0102641634295072,-0.002398675606515,,,,,,
2010-09-08,0.0044793272028065,0.0162295380434466,,,,,,
2010-09-09,0.0027178629256157,0.0040828461471105,,,,,,
2010-09-10,0.0045634374057097,0.0024486751798307,,,,,,
2010-09-13,0.0077761773610223,0.0052784481534943,,,,,,
2010-09-14,-0.0016729354279155,-0.0039792132175451,,,,,,
2010-09-15,0.0043927494678139,0.0028988555243141,,,,,,
2010-09-16,0.0020902461705913,0.0158281869967105,,,,,,
2010-09-17,0.0012288570136562,-0.0033157151092456,,,,,,
2010-09-20,0.0137417585260326,0.0275399851144822,,,,,,
2010-09-21,0.0006890848076506,0.0019061597383572,,,,,,
2010-09-22,-0.0020184594386483,0.0140255437858486,,,,,,
2010-09-23,-0.0071596454068194,0.0040664478690345,,,,,,
2010-09-24,0.0185548726461346,0.0117680249088467,,,,,,
2010-09-27,-0.0044400159483408,-0.0039685282487172,,,,,,
2010-09-28,0.0042637290657867,-0.0147681138993733,,,,,,
2010-09-29,-0.0021052754652395,0.0017774804859394,,,,,,
2010-09-30,-0.0043589521967221,-0.0100118959866422,,,,,,
2010-10-01,0.0038588886375376,-0.0024220912917098,,,,,,
2010-10-04,-0.0072403024385387,-0.0130007506965084,,,,,,
2010-10-05,0.0179932420771529,0.0254659065876914,,,,,,
2010-10-06,0.0020951348810558,0.0018615872864438,,,,,,
2010-10-07,-0.0017387782998901,-0.0041444414766092,,,,,,
2010-10-08,0.0052883926693547,0.0046521525935974,,,,,,
2010-10-11,0.0003506456955932,0.0033376343955687,,,,,,
2010-10-12,0.0009137362713387,0.0057371272014942,,,,,,
2010-10-13,0.0068672357462058,0.005491605873268,,,,,,
2010-10-14,-0.0001360629712808,0.0039598641296813,,,,,,
2010-10-15,-0.0028653691100305,0.0144079655966445,,,,,,
2010-10-18,0.0073137271327958,0.0062157388662092,,,,,,
2010-10-19,-0.0148128946637141,-0.0234452729132216,,,,,,
2010-10-20,0.0117819551085931,0.0057400560191568,,,,,,
2010-10-21,0.003475035212348,0.0033530051388481,,,,,,
2010-10-22,-0.0012569554396286,0.00179493129199,,,,,,
2010-10-25,0.0028286607564154,-0.009738896469187,,,,,,
2010-10-26,0.0004846051696874,0.0037699011095412,,,,,,
2010-10-27,-0.0038658706554309,-0.0008160889314218,,,,,,
2010-10-28,-0.0011081940973962,0.0001858237755239,,,,,,
2010-10-29,0.0004084991369148,0.0017967291890841,,,,,,
2010-11-01,0.0005513233076868,0.0060831393793278,,,,,,
2010-11-02,0.0057619593927495,0.0024304624209996,,,,,,
2010-11-03,0.002360427010009,0.0014545798075496,,,,,,
2010-11-04,0.0195904963413942,0.0090931705816935,,,,,,
2010-11-05,0.0008080772884677,0.0022150138649754,,,,,,
2010-11-08,-0.0032541046655365,0.0003838862929637,,,,,,
2010-11-09,-0.0052678782706784,-0.0020649700495513,,,,,,
2010-11-10,0.0009068710478772,0.0005976522362094,,,,,,
2010-11-11,-0.0065105370266532,0.0029692405531257,,,,,,
2010-11-12,-0.0080225766308743,-0.0034616154043525,,,,,,
2010-11-15,0.0008389172444565,0.0007243785622227,,,,,,
2010-11-16,-0.0159319950793391,-0.0140773421985695,,,,,,
2010-11-17,-0.0014169834614686,0.0052433880021033,,,,,,
2010-11-18,0.0157478631473955,0.0206093911314163,,,,,,
2010-11-19,0.0019961430899648,0.0048030353747226,,,,,,
2010-11-22,-0.0022287334816017,-0.0018672702945733,,,,,,
2010-11-23,-0.0127216480039165,-0.0114416610285366,,,,,,
2010-11-24,0.0136738941017373,0.0157219583605983,,,,,,
2010-11-26,-0.0085284496247526,-0.0076712186970853,,,,,,
2010-11-29,-0.0035503375351897,-0.0043975021035155,,,,,,
2010-11-30,-0.0042045459565726,-0.0034709148583408,,,,,,
2010-12-01,0.0226931036673467,0.024220112906908,,,,,,
2010-12-02,0.0094733443814762,0.0030918017361417,,,,,,
2010-12-03,0.0017319993935596,-0.0061639477405429,,,,,,
2010-12-06,-0.0017483093470244,-0.0077894106701243,,,,,,
2010-12-07,-0.0002666979977365,0.0017595660074372,,,,,,
2010-12-08,0.0011726494139332,0.0048248858200778,,,,,,
2010-12-09,-0.0002128733871341,0.0053981217009487,,,,,,
2010-12-10,0.0035409438216684,-0.0007253896696212,,,,,,
2010-12-13,0.0015984877999015,0.0033283949380053,,,,,,
2010-12-14,0.0041982953717665,-0.0142501941483319,,,,,,
2010-12-15,-0.0016616778606697,0.0099555948875469,,,,,,
2010-12-16,0.0036465532473228,0.0075375782487511,,,,,,
2010-12-17,-0.0006382889101462,0.0047766807576848,,,,,,
2010-12-20,-0.001199128191061,-0.0047893956237204,,,,,,
2010-12-21,0.0047943588371397,0.0036343997572974,,,,,,
2010-12-22,0.002282989030611,-0.0051450640780778,,,,,,
2010-12-23,0.0012111260718372,-0.0029957792176139,,,,,,
2010-12-27,-0.0015950210838447,-0.0049636649546939,,,,,,
2010-12-28,0.0017749642484405,0.0044569821962809,,,,,,
2010-12-29,0.0008500548325862,0.0010086457462168,,,,,,
2010-12-30,-0.0013525600397659,0.0008252201449335,,,,,,
2010-12-31,0.0006741573223385,0.0036870307761364,,,,,,
2011-01-03,0.0080535655993865,-0.0050815088173352,,,,,,
2011-01-04,0.0017505033952402,-0.0182900563690552,,,,,,
2011-01-05,0.002712297799289,-0.0032171731902734,,,,,,
2011-01-06,-0.0021820625197482,-0.0065348031875627,,,,,,
2011-01-07,-0.0019277770287221,-0.0008175890730721,,,,,,
2011-01-10,-0.003195746298982,0.0055468222983868,,,,,,
2011-01-11,0.002958525013827,-0.0045135403932511,,,,,,
2011-01-12,0.0071591335512326,0.0067337468035231,,,,,,
2011-01-13,-0.0020024804007386,0.0046292442962619,,,,,,
2011-01-14,0.0047289433374182,0.0016108116845244,,,,,,
2011-01-18,0.0042884682762458,-0.0068216797797426,,,,,,
2011-01-19,-0.0010677245744116,-0.0031979841594317,,,,,,
2011-01-20,-0.0002105854796604,-0.012199103493056,,,,,,
2011-01-21,0.0041479209554962,-0.0086794628000594,,,,,,
2011-01-24,0.0091544098413032,0.0171024313627046,,,,,,
2011-01-25,-0.0002778762268044,0.0011961052235465,,,,,,
2011-01-26,0.0006888092869885,0.0024521837977474,,,,,,
2011-01-27,0.0003662484047417,-0.0028524016190126,,,,,,
2011-01-28,-0.0138558996858176,-0.0141925965958477,,,,,,
2011-01-31,0.0057705702157899,0.0092169176551712,,,,,,
2011-02-01,0.012464795255711,0.0115751406624048,,,,,,
2011-02-02,0.0001502945383629,-0.0021389753681606,,,,,,
2011-02-03,0.0016849435369152,-0.0030149915421118,,,,,,
2011-02-04,0.0024780286265415,0.0055428125982756,,,,,,
2011-02-07,0.0057458342762066,0.0094619030084986,,,,,,
2011-02-08,0.0058808324625614,0.0081988592718724,,,,,,
2011-02-09,0.0005509012476185,0.0126506962099346,,,,,,
2011-02-10,-0.0008659889655421,-0.0066518628536628,,,,,,
2011-02-11,0.0035954439237317,0.0046549625796778,,,,,,
2011-02-14,-0.000413039081247,0.0008659825090122,,,,,,
2011-02-15,-0.0033868712332221,0.000446313813345,,,,,,
2011-02-16,0.0050324762327778,0.0093350565208931,,,,,,
2011-02-17,0.0024389088654404,-0.0055160957754326,,,,,,
2011-02-18,0.0059351780097551,-0.01354125143997,,,,,,
2011-02-22,-0.0144020951023907,-0.0243003776628359,,,,,,
2011-02-23,-0.00876210638869,0.0011874139037027,,,,,,
2011-02-24,-0.0030795432095608,0.0023870203696033,,,,,,
2011-02-25,0.0051332141784397,0.0132714823985671,,,,,,
2011-02-28,0.0079048713686284,0.0115002235935516,,,,,,
2011-03-01,-0.0137670238723197,-0.0078328427690392,,,,,,
2011-03-02,0.0007281687854912,0.0061015122071658,,,,,,
2011-03-03,0.0158617358142172,0.0191602391108354,,,,,,
2011-03-04,-0.0072049983760074,-0.0041912849722458,,,,,,
2011-03-07,-0.0065612487669473,-0.0101293155761481,,,,,,
2011-03-08,0.0102853017372672,0.0027188265720274,,,,,,
2011-03-09,-0.0001056164189158,-0.0044976101045937,,,,,,
2011-03-10,-0.0187077549670547,-0.0128376010662451,,,,,,
2011-03-11,0.0049889013750625,0.0076521210378554,,,,,,
2011-03-14,-0.0042542785620846,-0.0070338812078192,,,,,,
2011-03-15,-0.0114848991075316,-0.0187533304501599,,,,,,
2011-03-16,-0.0204227365022096,-0.0329258719698071,,,,,,
2011-03-17,0.0138883901884112,0.0101309008840923,,,,,,
2011-03-18,0.0071280349136364,-0.0046026075600308,,,,,,
2011-03-21,0.0150112112830274,0.0161919309609786,,,,,,
2011-03-22,-0.0014871719854768,-0.0023137004384883,,,,,,
2011-03-23,0.005607099069909,0.0104631562163266,,,,,,
2011-03-24,0.0069948620258233,0.0126420648305383,,,,,,
2011-03-25,0.0041107619701841,0.0066445493137522,,,,,,
2011-03-28,-0.0018583359091389,-0.0073654434135329,,,,,,
2011-03-29,0.0066511462313065,0.0092120659358842,,,,,,
2011-03-30,0.0058311368183732,0.0061252218922536,,,,,,
2011-03-31,-0.0025002718030524,-0.0022703093513691,,,,,,
2011-04-01,0.00462585264808,1.651011215969936e-05,,,,,,
2011-04-04,0.0018834188209797,-0.0013950052060306,,,,,,
2011-04-05,-0.0004943441812098,-0.0041275024157222,,,,,,
2011-04-06,0.0026504658210622,-0.0007887198969645,,,,,,
2011-04-07,-0.0013889203230933,-0.0038076500833593,,,,,,
2011-04-08,-0.0023724124949103,-0.0035983030917434,,,,,,
2011-04-11,8.566580035873628e-05,0.0021444708506253,,,,,,
2011-04-12,-0.0094927086586114,-0.0071114450850299,,,,,,
2011-04-13,0.0006042408662718,0.0037016014680599,,,,,,
2011-04-14,0.0011539538357983,0.0012842982403235,,,,,,
2011-04-15,0.0046136746965061,0.0026711814704793,,,,,,
2011-04-18,-0.0113630015554634,-0.0090505716878598,,,,,,
2011-04-19,0.0053403004923475,0.0007647559448981,,,,,,
2011-04-20,0.0152273453899769,0.0126790261286927,,,,,,
