,RF_RETURN,AXP_RETURN,AAPL_RETURN,BA_RETURN,GS_RETURN,INTC_RETURN,JNJ_RETURN,KO_RETURN,NKE_RETURN,PG_RETURN,DIS_RETURN
2010-01-04,0.00014957744707144727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,0.00014628913506742336,-0.0021991513092902704,0.0017291476086600532,0.03275203138788263,0.017680018031750677,-0.0004791269933015485,-0.011595338228024388,-0.01209654445275421,0.003979208167313564,0.0003267127454837926,-0.002494432046937778
2010-01-06,0.00014831597356002035,0.016164659352625677,-0.015906455000128106,0.030333911469265118,-0.01067397361308986,-0.0033541190025138112,0.008133472989542812,-0.00035504533177110886,-0.006097244170384042,-0.004742964195662447,-0.0053140944490908115
2010-01-07,0.00014885119070595643,0.016218772497677225,-0.0018490166758744486,0.04048209713580708,0.01956820481501853,-0.009615181922940974,-0.007137298845750206,-0.0024853902978784204,0.009814711564430256,-0.005423194715457935,0.00031415047277749686
2010-01-08,0.00014831597356002035,-0.0007148120781913514,0.006648885946211047,-0.00964611194262499,-0.018910891636291893,0.011164960938792046,0.0034386658264273784,-0.018508640277636657,-0.0019745303697262795,-0.0013221463394189614,0.001571015817616761
2010-01-11,0.00014869828015906528,-0.011441873922875545,-0.008821846737960604,-0.011850978846364768,-0.015776834045177046,0.005760910051664236,0.00015567200703525685,0.020308132878103846,-0.012324798923841307,-0.003970847106555486,-0.016311329330307545
2010-01-12,0.000144911825166405,0.013262229882880394,-0.011375064525420697,-0.007228453271526769,-0.021799661308490426,-0.01622895838228222,0.005294121862508661,0.01084078555013157,-0.0013864876236501233,0.011462144808093155,-0.017219457359074264
2010-01-13,0.00014736004199633612,0.0030940951559195184,0.01410563339490456,0.012080107723657196,0.007447882934803252,0.016981946593869868,0.0063507338904014166,0.002637276454233506,0.008948038257164503,0.010346366595721523,0.015249975487723333
2010-01-14,0.00014548575682815645,0.012574054797073408,-0.005791618789175446,0.006540307174319082,-0.003193433764980602,0.024809085828026767,0.002000754483383993,0.0017534597062678348,-0.0062691622538106895,0.0009755143146141787,-0.00862902424954426
2010-01-15,0.00014326608210257774,-0.0067946102904148376,-0.016712060388605843,-0.012020589730089237,-0.01969962886657084,-0.03165744828047312,-0.008294815184441418,-0.014703519443515778,-0.009232535636241601,-0.012341836829917407,-0.013539612513558064
2010-01-19,0.0001444526130103263,0.013446364786864118,0.0442384914334677,-0.002795510698456738,0.009987003488633572,0.012018925567576,0.012236548819968274,0.002309393966404505,0.004970024086889069,0.014797869196200963,0.013398631211968048
2010-01-20,0.00014261524410885684,0.0004653841030290984,-0.015392441120372857,-0.007419414959112913,0.005573831712243793,0.0014255002482828072,-0.0030604170205734693,-0.016306065775219536,-0.008190535303180368,-0.013544511296265882,0.005804673396911042
2010-01-21,0.0001407770367132244,-0.019078744760421484,-0.017286523986904223,-0.016611265152538413,-0.0412423991976506,-0.011384972651732994,-0.018112019577879557,-0.02036086718498553,-0.008413895523849857,-0.010090818669902246,-0.01859578546078755
2010-01-22,0.0001402790410034438,-0.0846770521076079,-0.04959838732185762,-0.024155611648960074,-0.0419590963149169,-0.04462584750576848,-0.012036808357288709,-0.0023904235406855268,-0.010370714829983196,0.007854227934372737,-0.020581485519376663
2010-01-25,0.0001415047660628943,-0.020730872924117127,0.026902599239998715,0.00017329314514169525,0.005579909385741377,0.020592667364160322,0.0003164972879272643,0.00202803018803821,0.010955671666947664,0.005305889774394723,-0.0020011718666117506
2010-01-26,0.0001415047660628943,0.008203430769847975,0.014132843101432702,-0.0012110626087342702,-0.026455182139124234,-0.015748023140067846,-0.006801650946830051,-0.003864268056583464,0.0010996229944213454,0.0009895456582653672,-0.00869003584712058
2010-01-27,0.00014204089881109105,0.014960585760191547,0.009420619162624932,0.07312391907954185,0.0041094454607717434,0.01200004744039318,0.01035180753734366,0.006833775835176414,0.0040788063631678195,0.0019772274745237794,-0.011463108136432476
2010-01-28,0.0001425769594320947,-0.0320666889647474,-0.04132210637458644,0.010172489978728327,0.011814787064302168,-0.015810338442498795,0.005674691983144076,-0.006053331827139075,-0.007499976789010598,0.01430691219583169,0.0010232586137710609
2010-01-29,0.00014070042252689596,0.006144967321454198,-0.0362787868359451,-0.031329704228986954,-0.029812326950932833,-0.02610426869726412,-0.014733544663745768,0.001292061043622894,0.0036211270297186182,-0.002107441417202427,0.006814079361779912
2010-02-01,0.0001424238079175133,0.014604197939449115,0.01390188011279303,0.01815192569101609,0.02965248344508553,0.010824589059322154,0.00365895937913141,0.0023961302900443737,0.005489882829097681,0.007148321879609565,-0.001015146122425592
2010-02-02,0.00014169624641224843,0.02119933491335302,0.005802869824198753,0.0038896798440573033,0.024881537480546,0.015298322904774508,0.01426498688747424,0.012320968818137379,-0.0026517524699263273,0.014679860964573521,0.015582627582262587
2010-02-03,0.00014429953357186776,-0.017683461671659573,0.017206214513469043,-0.0009754492187870056,0.0018477845445321606,-0.003645378671859545,-0.005625392765785997,-0.003269831359931308,0.0010946614498799079,-0.003974680725224888,0.02568370207007864
2010-02-04,0.00014073872523789888,-0.020871614948032136,-0.03603861806926034,-0.03481937518838574,-0.041659250729764175,-0.03353667263734461,-0.01555897805991635,-0.026243738483469947,-0.02984353838514764,-0.01995190174554695,-0.035121811019074634
2010-02-05,0.00013828643553859266,0.008526069022016802,0.01775576442789606,-0.015508891151700177,0.02309562563727474,0.023659962746864327,0.0,-0.00636370989720958,-0.006281013000878799,-0.001628712656910114,-0.004381592675873458
2010-02-08,0.00014004917443077858,-0.02800486976535732,-0.006855510210633131,-0.008733279426976326,-0.019849517597058552,-0.006163846929620798,-0.004310105771187289,-0.008287734558803828,-0.0064830559897722795,-0.00473088039767644,-0.0020311276991481497
2010-02-09,0.00014161964989822806,0.020385828715082432,0.010663268315901142,0.03195726343322569,0.009199109550339424,0.015503862256550871,0.0062529279104577284,0.025830544816607626,0.01973868094185649,0.012292694324898656,0.012211569451852755
2010-02-10,0.00014395507648767847,0.005594261849172444,-0.005453927307408679,-0.003347565165202737,0.00747612943426379,0.0020356990544683207,-0.00047816373678477575,-0.004073124105401726,0.002079747105496521,-0.0014570246006698762,0.006367558978128907
