,RISK_FREE,AXP,AXP_VOLUME,AAPL,AAPL_VOLUME,BA,BA_VOLUME,GS,GS_VOLUME,INTC,INTC_VOLUME,JNJ,JNJ_VOLUME,KO,KO_VOLUME,NKE,NKE_VOLUME,PG,PG_VOLUME,DIS,DIS_VOLUME,AXP_RETURN_12,AXP_RETURN_26,AXP_RETURN_60,AXP_STD_20,AAPL_RETURN_12,AAPL_RETURN_26,AAPL_RETURN_60,AAPL_STD_20,BA_RETURN_12,BA_RETURN_26,BA_RETURN_60,BA_STD_20,GS_RETURN_12,GS_RETURN_26,GS_RETURN_60,GS_STD_20,INTC_RETURN_12,INTC_RETURN_26,INTC_RETURN_60,INTC_STD_20,JNJ_RETURN_12,JNJ_RETURN_26,JNJ_RETURN_60,JNJ_STD_20,KO_RETURN_12,KO_RETURN_26,KO_RETURN_60,KO_STD_20,NKE_RETURN_12,NKE_RETURN_26,NKE_RETURN_60,NKE_STD_20,PG_RETURN_12,PG_RETURN_26,PG_RETURN_60,PG_STD_20,DIS_RETURN_12,DIS_RETURN_26,DIS_RETURN_60,DIS_STD_20
2010-03-30,0.0001506092631438083,-0.00024210709723160306,-0.05184642138643569,0.014888719202259315,-0.024844270231924703,-0.007826020435410808,-0.5166368791509455,-0.015340405432423432,-0.3055423567743687,0.0004482279762341168,0.09917633508278723,0.0012343422631315715,0.06383033188700749,0.0018260673200858335,-0.016024715597389827,-0.002162840152679535,-0.00938304918434929,-0.00109824004629,-0.2523145034060196,-0.001706719838799553,0.36951554476334536,0.0013359100918099998,0.002433896681109049,0.000295008536427277,0.01151798968362038,0.004966595663615125,0.006280435814203678,0.0016208690084420496,0.011872907865389967,0.006788221892376045,0.005371262853294256,0.004609535106806284,0.013505111392440159,-0.0027641761901390227,0.0035341371457786597,-0.00012717900428582674,0.013178870776280485,0.0014892688549958955,0.0026213637939278556,0.0012600342107818019,0.011745039433397579,0.0005719304831968142,0.0008451784435197229,0.00018365362690953013,0.003936152786135629,0.0021577079572274727,-4.2320468519041476e-05,-0.0005104417900901881,0.0069329719034747885,0.0047698649035914364,0.005467930042030833,0.002097811092448998,0.013462729591165951,0.0002044544569030915,0.00014528996462459531,0.0007981807520203166,0.005331502299322495,0.00392974088535647,0.004639587756881891,0.0015057978172878794,0.009696639397982576
2010-03-31,0.0001492716667343963,-0.0007262746030252121,0.23760631507021746,-0.0036038388536037136,-0.18328952608522497,-0.01251192744148033,0.3431173396024012,-0.00437570103506113,0.007159787894338132,-0.002237773719983238,0.21373161274656005,0.004622326092490026,0.4364382309062034,0.0023690967378076078,0.6815340825728455,-0.004199649884485512,0.2251594131121153,-0.0061263888681624135,0.3402577859199163,-0.005412709001556992,-0.3727691288121011,0.0010432303150089695,0.0034096593794299412,0.00028289606304165993,0.011461384878103062,0.004751630329228096,0.006795191919666488,0.0015606008179256392,0.01204612238923831,0.004560782700831378,0.0056166839115259215,0.004398742246176202,0.014111863041186841,-0.003455621854536406,0.0033673637384294963,-0.00020025541232282507,0.013099313426630883,0.00022465256157899738,0.0034325741972709434,0.0012226498402445607,0.011466470144597925,0.0008475043518578751,0.001132033530978127,0.0002605319630315517,0.003986328895878593,0.0021339456031190807,0.0004326586247969111,-0.0004710228961763985,0.006530459193502313,0.003636337947698687,0.005413575026581796,0.002027524860710672,0.013406420561529825,-0.001162135956100041,3.6496195695123745e-05,0.0006956837144287409,0.005479435910492562,0.003385014810938891,0.004679000894952212,0.0014152088583916367,0.009564950062533892
2010-04-01,0.0001502653511025187,0.010663927254713546,-0.12588083165036978,0.004127666829232268,0.4005149310499523,0.005233610714611814,-0.2504163409577541,-0.002403338659854426,-0.2138247282608695,0.004485905079064878,-0.010716817661872269,0.008741925723231514,-0.11211062810429595,0.005454675572813317,-0.37413838234011,0.006938425132180015,0.058160687215765616,0.0014224284718826752,0.2881568991188459,0.01833272426439092,0.3534454794012698,0.0021300435618394342,0.0033337061305542814,0.0004964689417914503,0.011231647553366947,0.004928204204485143,0.006253805556852621,0.0016005212083198828,0.012050934654501968,0.0029518991964774255,0.005383582495015249,0.0039467419638563594,0.013872620570762242,-0.0041510955097949775,0.0028752906505176146,-0.0005323193101592905,0.010543538965622655,0.0008525705332278477,0.003023049467251182,0.0013053394820816688,0.011433018935236891,0.0010859497343580493,0.001382162029934575,0.0006001313417696164,0.004305753065672016,0.0024745906379861626,0.00041108694884606223,-0.000177618801492474,0.006289561449341889,-0.0008739924855061254,0.005201559128076738,0.0020766814737274153,0.013416989907124659,-0.0005820963125525713,-0.0003203468956894939,0.0007139363687747036,0.005471052497471242,0.0051201905401685455,0.004798045562723896,0.0017601598936471952,0.008317010467029198
2010-04-05,0.00015542088124775866,0.02326109819623734,0.30596878480128975,0.010679242275179357,0.13489687060429234,-0.013015573523251889,1.1143278168215822,0.017272099598862223,-0.053328395518933425,0.008932571269000933,-0.23187223846475125,-0.005625433221533749,-0.1870648831198234,-0.007956564152642787,0.3377805660114317,0.0013510066893771544,-0.15457714531302225,0.006313673827291755,-0.18712635837383584,-0.009282624374693293,-0.2735807710744368,0.006093409767738089,0.004595380017498929,0.0006125231503815165,0.009937891345297356,0.007077375958740806,0.006407347113839945,0.002045613549289449,0.00926300496985612,0.0018510186602320733,0.005250369802148214,0.0032277687880053474,0.012411016641254683,-0.0026968924517585258,0.003999637816163082,-6.820125114792575e-05,0.010135530802190974,0.002695569813405463,0.003496902035118099,0.00150983923011494,0.011321090791633785,0.00044452217182056053,0.0012682358197266819,0.0003709871802435316,0.004384885451327005,0.00020071282351108444,0.0015543765368295492,-0.000304812788431863,0.006563420351390473,0.0007996442583222407,0.004528449035241744,0.002201373050833011,0.013368402256687973,-0.00012535244440892157,3.623253599061016e-05,0.0008982193441453568,0.005663533426138676,0.004600393842477235,0.004474634633063079,0.0016934185995076678,0.00800615447377546
2010-04-06,0.00015442848187774416,0.010546314422148484,-0.005167300912550465,0.004402919274003159,-0.34695071318419257,0.004441948085773584,-0.4431017659736445,-0.0015016018101476902,0.2622004889975551,-0.008410733606733833,0.3466684219111751,-0.0013760114625323006,-0.041484868176754564,-0.010390113501508758,-0.08272282954178345,-0.0026983078219283696,0.19012652507907823,-0.010194776793589932,0.28817688057996693,0.007098263838825947,0.1913479576542012,0.005295385428019328,0.0048487196810969024,0.0005191739733629852,0.009362477280857179,0.00639358347803487,0.006078631724911521,0.002149895752224573,0.009221331635554513,0.00062403965515756,0.00524378432898831,0.002638515494732596,0.01201866622032693,-0.0018661980852835436,0.003877339507282196,-0.0004161582083811455,0.009593664258896899,0.0007171325313328758,0.0033584424048518358,0.001530123272929007,0.011619153867721506,0.00032211009008920044,0.0013859656001184995,0.0004674524868872876,0.004403558242061875,-0.00045930201915245217,0.001443215372238793,-0.0004373616216419851,0.006929278740357731,4.061818401290829e-05,0.003592602268443157,0.001993127053819599,0.013431268778092672,-0.001211956501118383,-0.00010344894643499192,0.0008180043591208275,0.0058570188499386736,0.004389433463031001,0.004896103960335463,0.0018062660496052096,0.008002989882920837
2010-04-07,0.00015041820152639218,-0.017393324474122007,0.2531311968272245,0.0044247448581151705,0.40599064197082346,-0.0035931853520279056,0.29331125572798333,0.02001176630706314,0.7933777571155536,0.0022322252853950175,0.3290363711708266,-0.0013780780437858686,0.13913875134683606,-0.008657510364980858,0.36676474932118475,-0.004330033047809212,0.05021357380161362,-0.009665769954372294,0.27064050016738594,-0.004229014252967067,-0.26868021871068315,0.00314298263203594,0.004231569390439782,0.00023855156533092448,0.010522293238911802,0.005234888715491159,0.005431975993622329,0.00211295968250913,0.008660276429211128,-0.00011090716056638694,0.004594015353422298,0.002740348596828923,0.012078131452100594,0.0008717175112524789,0.00459575951769553,0.00023222873430150948,0.010345145631251515,-0.0009746762825089128,0.0028107976145990143,0.0013820140741092057,0.011578383925399751,-0.00021440856333043712,0.0010952199743956559,0.0003872289394262207,0.004431462122640447,-0.0027091295071089982,0.0007088191610415961,-0.00027097111448926015,0.00711600233125239,-0.0012148402962339766,0.0030615150915027645,0.0019536588510289388,0.013544052053498156,-0.0031912618490206324,-0.0006163741202050987,0.000678065652682136,0.006217998406942992,0.003786640268957031,0.0043630618029733,0.001709303261959061,0.00817996113546895
2010-04-08,0.00015167900979040638,0.031153673714136687,0.06564506743167509,-0.002701400655995778,-0.08832557414296216,0.0024965293386705056,-0.44299708211754896,0.017804224043073802,-0.2317529811625093,-0.006236564057997551,-0.34722368795550995,-0.004446610949382368,-0.04748443046315387,-0.0011148749963485471,-0.1909329698098151,0.005435958778431171,0.17615690527838024,0.0009601183477401243,-0.39767152063232103,0.009909173811450511,0.0728938997208457,0.006788134419249969,0.005154428048790516,0.0009420661285188814,0.012162421307047096,0.004519587255910507,0.005353282174197949,0.0022157732098542215,0.00871523953684157,-5.5305506071468e-05,0.004425649028358514,0.0029812849249915008,0.009869385494371804,0.0028807554495280385,0.004735965079420534,0.0007916795417204359,0.010305137099997539,-0.0005363228257770913,0.0028849601891365317,0.0011817509909251012,0.011598586062571116,0.0002776436050704323,0.0008932858670160915,0.00031033381234490953,0.004581055793906444,-0.0015858025267806442,0.0006442286725913959,-0.000624487355314729,0.0071207644976894096,0.0008282111073025789,0.003389618937144734,0.002251336100619783,0.013551005546975034,-0.0016630529899980262,-0.0007003418007789364,0.0007604316718399229,0.0061551972972985905,0.0036610838561752512,0.004329771253279935,0.002148581425668983,0.008302228712803868
2010-04-09,0.00015137339979776065,0.004349344280054401,-0.36634061754533875,0.007668196069524846,-0.4167729513924521,0.0019370888748160286,-0.1057864492850461,-0.0021170607597487123,-0.20684613077384528,0.010757845523559517,0.11522982522749814,0.0032345633601098545,-0.2220226273625957,0.015439370209944014,0.06029753220868361,0.016083005849748977,0.20091447014523944,0.0027174713921058746,0.08132359199886507,0.01541932406474622,1.1527042426809468,0.006223680227316786,0.00543316738246169,0.0007946785438353032,0.012111251773184067,0.006487217711702353,0.0055599251572380215,0.0025345189143104463,0.008769095511375403,-9.661583055065037e-05,0.0044944108161319996,0.003134917303166729,0.009867813673869498,0.0023870160314396482,0.004905628257645178,0.001124024108464683,0.010213715480289265,0.0008912854127849368,0.003634854859491332,0.0016334341586921042,0.011739976775631553,0.0008793122658354857,0.001041891322508981,0.0002761450078139216,0.004603820573406738,-0.00038385946661834147,0.0007816570442675808,-0.0005488825281609877,0.00786423603979669,0.0021671268602734273,0.004227580040569556,0.0025410691220859594,0.013790567371325028,-0.0014077958134542934,-0.0004993769642290813,0.0006156142307285339,0.006159708007505067,0.0031745635883886347,0.0052131369840913155,0.0026944193089375457,0.008375821779756735
2010-04-12,0.00014976853989367989,0.015040909611179876,0.17788999425478513,0.0020679977110915626,-0.0034603815636232715,-0.0069042718197078745,0.09576471291508493,-0.007145749690497416,-0.28612621129756555,-0.00044347538733735536,0.08399756637022371,-0.0004609571200432372,0.24660461514191057,0.003114083291472003,-0.1797525265738399,0.004655467910807953,-0.2907374820028795,-0.0004785229662795931,0.0019351241431335708,-0.009111155688287575,-0.5122833317717606,0.008459768346405827,0.005399114209031497,0.000992190637264967,0.012056130182820349,0.00482665570197871,0.00538571558592893,0.0023350128623933486,0.008768871214546127,-0.0009268292108844944,0.0035733305973892904,0.002818378858955084,0.00999273047515113,0.0028384630982634107,0.00321279789820883,0.0008805706485217613,0.01026539023675429,0.0013408198859408138,0.0035989091925425765,0.0013449481447420641,0.011757065015321587,0.0011281125543844972,0.0009210567282538218,0.0001629234360325249,0.004601473452995592,0.00020111082044094175,0.0005178798819360786,-0.0005409511860106075,0.007763921168340478,0.002197695185329085,0.004258202059012506,0.0024698337407820237,0.013785756500101975,-0.0015654047977169405,-0.000590282655882346,0.00043599365742075236,0.006126695386353644,0.0016305663568865203,0.003740320643358608,0.002288614431633862,0.008707325906397898
2010-04-13,0.0001484306703025684,0.010103424667992522,0.40427170508805266,0.000577714889317793,-0.08052094368494511,-0.010150175434421538,0.38547775565314635,0.007928062959212667,0.07045424447093107,0.010204142968982977,1.4800032419508438,0.008754696385921523,0.43595407376728557,0.004747711474389904,-0.1107711572083353,-0.00026488152855497216,-0.20773186575243596,0.004784562021208805,0.2253284448518178,-0.0013929921955585511,0.04912206554731635,0.008594523028243595,0.00450713986161011,0.0009514246964654749,0.012020450231044755,0.004238552736584911,0.003925740560641877,0.002441701710664601,0.008007636889260253,-0.004011720270957975,0.001804489015986066,0.0025389494989491723,0.010192125996000357,0.002948229807748559,0.0026847674916783415,0.0010656879240915629,0.010149859395711202,0.0019532273725553218,0.003505046346810481,0.0011054245145043495,0.011717623314795018,0.001318892978935171,0.000973038951041838,0.0002749076450330179,0.0047999527081226704,0.00045551485703909655,0.0005379914685199605,-0.0004912393191141007,0.007740895365225305,0.0020626768531886164,0.0038559783357128286,0.0025704875900989244,0.013797265890339258,-0.0011514125839616751,-0.0004188799705296953,0.0004993282157275125,0.006064737628614064,0.0019173881846472618,0.0029239763134587538,0.002410104098044874,0.008754099873325226
