,LARGE_CAP,SMALL_CAP,BONDS,CASH,REAL_ESTATE,COMMODITIES,GOLD,LARGE_CAP_RETURN_12,LARGE_CAP_RETURN_26,LARGE_CAP_RETURN_60,LARGE_CAP_STD_20,LARGE_CAP_STD_10,SMALL_CAP_RETURN_12,SMALL_CAP_RETURN_26,SMALL_CAP_RETURN_60,SMALL_CAP_STD_20,SMALL_CAP_STD_10,BONDS_RETURN_12,BONDS_RETURN_26,BONDS_RETURN_60,BONDS_STD_20,BONDS_STD_10,CASH_RETURN_12,CASH_RETURN_26,CASH_RETURN_60,CASH_STD_20,CASH_STD_10,REAL_ESTATE_RETURN_12,REAL_ESTATE_RETURN_26,REAL_ESTATE_RETURN_60,REAL_ESTATE_STD_20,REAL_ESTATE_STD_10,COMMODITIES_RETURN_12,COMMODITIES_RETURN_26,COMMODITIES_RETURN_60,COMMODITIES_STD_20,COMMODITIES_STD_10,GOLD_RETURN_12,GOLD_RETURN_26,GOLD_RETURN_60,GOLD_STD_20,GOLD_STD_10
2011-03-30,0.006800768204945573,0.011091896118946787,0.0018991310590814603,0.0,0.014517919709726268,-0.0015854801773740324,0.0033282065894868484,0.005495833515608117,0.00043899411346126627,0.0008015551752660333,0.010304382679249286,0.005900656061749654,0.005818739706875409,0.0007917155916774554,0.000752555458309212,0.011291777505259564,0.007551429985241707,-0.000942975245839528,0.0001385874119541608,4.415407880498101e-05,0.0023794279209077337,0.001408420884521185,8.032448228800781e-05,7.718267692968794e-06,1.6734273600604865e-05,0.00026551453397866923,0.000254100149461925,0.004028839482949076,0.00013350500755926475,0.0005873519326355936,0.010181959577782146,0.008046023463042914,0.004771325334609555,0.00026188329608656247,0.0011562213557132495,0.013666215553147499,0.012126143594755836,0.0017694556310741127,0.0006660708568790863,8.072511483270262e-05,0.007749125877729766,0.006018481536084397
2011-03-31,-0.0013183657598597742,0.004922793177618567,0.0019015943964535431,0.0,0.00810334442283489,0.018911581513977316,0.008581542201770542,0.004117623770639733,0.0006058971911149236,0.0007939068206679334,0.009565692973518445,0.005700910607629874,0.00583411469494588,0.0015824877351831024,0.0010568357324070021,0.010447827376922715,0.0075491562541854,-0.0005653750408085578,0.00021166900273872358,6.007888950976259e-05,0.002238001390770588,0.001620586573809992,8.032448228800781e-05,7.718267692968794e-06,1.3386965679540452e-05,0.000230157731413208,0.000254100149461925,0.004072849429490377,0.0007692805529817548,0.0010444809287624146,0.009829000347506747,0.00806918758731109,0.0033625818492022397,0.0006653099590043787,0.001710832968269349,0.014273492887382472,0.00875688888125189,0.0020901807868065614,0.0006519556943369587,0.0006205377347714425,0.007392202781368942,0.006310316410851238
2011-04-01,0.004619075506269832,0.0060184108426850624,0.0,0.0,0.001539180645494742,0.0009917780250527919,-0.004719030882519015,0.004151744037045102,0.0008218085140181408,0.0007819540155884486,0.009460258181334462,0.00570290050063168,0.00545785860412118,0.0017294979096746932,0.0010182187115148622,0.010380012231747018,0.007424189840240421,-0.0005653750408085578,0.0001751832193972458,0.00015478974870974938,0.0020792820234918526,0.001620586573809992,8.032448228800781e-05,7.718267692968794e-06,1.3386965679540452e-05,0.000230157731413208,0.000254100149461925,0.0032206021818872443,0.0011230466612002221,0.0010099377242105412,0.009539182219383427,0.007814130724415204,0.0023659570826961573,0.0012512253817791308,0.0016489421352414713,0.014268117818034085,0.008355306919689253,0.0005982293261874716,0.0007592755476262258,0.0005887494687735195,0.007203934661924825,0.005933397458865357
2011-04-04,0.0004928711936176278,0.0011132371812421216,0.0018976108669914726,0.0,-0.0006829370595526907,0.010191099860619168,0.004597696865513701,0.0026909521996598684,0.0004252643678401835,0.0008187689843368595,0.00920651578656481,0.0042649829273303,0.0035105150172523025,0.0009847338494715085,0.0011060006351120144,0.00979630672393104,0.005215929982386728,-9.331411495328013e-05,0.00021167402772981347,0.00015475186893953996,0.002101257569583064,0.001576566108883714,0.0,3.089326812921733e-05,1.3386965679540452e-05,0.000230157731413208,0.0,0.0020696440955123574,0.00035152789250436633,0.0011555434912888796,0.009349174797658531,0.007407417394688755,0.0027885457162546423,0.0008558890632970328,0.0019992347304529368,0.014449586041545174,0.008658154833816522,0.0005019528972622922,0.0006828500125768411,0.0007324103187007491,0.007254944608026477,0.005851045760706578
2011-04-05,0.0,0.004168526871726863,-0.002841211951534639,0.0,0.0010256230885339335,0.004063344603713492,0.015803824168639347,0.0030450943878221892,0.00019713138799248853,0.0008531583565818401,0.00899521201453355,0.003815362038847348,0.0043769824015389425,0.000996996908043224,0.0012598627668891638,0.009312708921275384,0.004398070654958486,-0.00028336455660971094,-3.628602844385487e-05,4.4254011062561105e-05,0.0021614763670542107,0.0017901487863640723,0.0,3.089326812921733e-05,1.3386965679540452e-05,0.000230157731413208,0.0,0.0028168698079138466,-0.0005520854127119001,0.0011665719685629572,0.008855520001137051,0.006808079244650256,0.002604612692693964,0.0004210307406364855,0.0020801533840240083,0.014424209576065609,0.00860463821254023,0.0021368324951338558,0.0012081225085656122,0.0010251679054005258,0.00802555006794309,0.007552568875669316
2011-04-06,0.0029536604227475838,0.003597901108783441,-0.0018995382919205772,0.0,0.0005118209340033708,0.0011163019476994052,0.002323138500281763,0.00302041327599456,0.000973613027720921,0.0009167116493982164,0.009002131434328344,0.003815090395182213,0.004886052528279672,0.0018530106650649358,0.0012601373264455873,0.009302857670282877,0.003912811629593208,-0.00047342708021946844,-0.0001457698616031955,-3.1718240324218883e-06,0.0021143467291924642,0.0018564623315144018,0.0,3.089326812921733e-05,1.3386965679540452e-05,0.0001796759387850424,0.0,0.0039761553130621685,0.0006286765001477512,0.0011781443491778454,0.008846208598078772,0.00492599330991595,0.002659048435922795,0.00039887050020737114,0.002014517386516701,0.014255984866518636,0.008591855410712508,0.001444196873371384,0.0006403163504187237,0.0009965743968949337,0.008029475798539642,0.00713318871056826
2011-04-07,-0.0017999197628946195,-0.004412445083411987,0.0,0.0,-0.011090427862209928,0.0025090648248637937,0.0009129766790669791,0.0019016788900776405,0.0007950653434798394,0.0008321977945613401,0.007846378127578636,0.0033516025051356546,0.0037608048039272646,0.0015879788776145265,0.0011219611887225422,0.007522667979507877,0.004809045209783797,-0.0002844393953874702,-3.65762243748069e-05,2.8303517482175522e-05,0.0017905792564849071,0.001791221958615819,0.0,3.089326812921733e-05,1.3386965679540452e-05,0.0001796759387850424,0.0,0.0024338848272607017,0.0005522958197514694,0.0010285006757364545,0.008485317369567593,0.006849063297293102,0.0021953498754312406,0.00032766247347382205,0.0018813114654867569,0.01329998545616696,0.008447989754048613,0.0023384007673807883,0.0007056841285575377,0.0009138209058596747,0.007440542727183402,0.0063340528130847685
2011-04-08,-0.0037705598781081484,-0.010387759327614376,-0.0009506382020787463,0.0,-0.007246116360809629,0.015016711047707298,0.008069673704311775,0.0012258960900193294,-4.980990289560339e-06,0.0006210519617060317,0.007832241127828973,0.0037659685878870678,0.0019951137147478093,0.00042125299096795743,0.0008123881511601372,0.008060007363689342,0.00637733139075153,-0.00019019086852090084,7.29349618817654e-05,2.8219642129068134e-05,0.0017907099715525731,0.0017206101928231169,0.0,7.718267692968794e-06,1.3386965679540452e-05,0.0001796759387850424,0.0,0.0009258078821310356,-0.00027826616914383706,0.0008374276950149362,0.008390921711712466,0.007187232373332176,0.003733047006912127,0.0006055544652512346,0.0019056079888382094,0.013533847121557549,0.009279563399159587,0.0031155203838082457,0.0015220726462290557,0.0009800295619080135,0.007569517005120636,0.006526751275925583
2011-04-11,-0.0034552075075447997,-0.009097165522196082,0.0,0.0,0.0006951484218182813,-0.008356172744541923,-0.007100127011412383,0.0010964208307406853,0.00014646412918373208,0.0005860385811431446,0.007739614186621475,0.003914408363517093,0.0014091460339618056,0.00031538279947929126,0.0006795826021248619,0.008270371284745016,0.00713395225074946,-0.00019019086852090084,-7.315461526202771e-05,-1.902315387258824e-05,0.001768950279754485,0.0017206101928231169,0.0,7.718267692968794e-06,1.3386965679540452e-05,0.0001796759387850424,0.0,0.0011183552009601527,0.0001191376548144163,0.0007946410510792923,0.008042636020932968,0.007148136699953919,0.004328382555471633,0.00021847811616404478,0.00185805735459188,0.01363257847985633,0.008130787669237832,0.0029207496161931523,0.000897909477569403,0.001035720685747199,0.007802538065145785,0.006821484728539338
2011-04-12,-0.007265769868672334,-0.01031042163643936,0.0038091145322700637,0.0,-0.001736821574449654,-0.022378819729810484,-0.007220967356311059,-0.00028233051989867697,0.00020385882836726488,0.00034562326023768186,0.007463813944670823,0.004212751544145941,-0.0003560557596493652,0.0004350898306695328,0.00037482539719602137,0.008417051748308457,0.007676796477813295,0.00037978396410554005,0.00010954580547917203,6.007888950976259e-05,0.001980909841489821,0.0020127717590646844,0.0,7.718267692968794e-06,1.3386965679540452e-05,0.0001796759387850424,0.0,0.0005409002296192789,0.00033274038960007246,0.0006544225410045623,0.007944684783965952,0.007121250066359696,0.0019856220116185597,-0.00048592381630641057,0.001498262389545646,0.011669086388806873,0.011753270441306281,0.002433204283557089,0.0005169172429890789,0.0010849415503588755,0.006581658494972459,0.007389109801073365
