Date,AAPL,AXP,BA,DIS,GS,INTC,JNJ,KO,NKE,PG
2012-01-04,0.005373833397813499,0.0006228043253460047,0.0014822595243089154,0.014095553221798562,-0.006501892880000915,0.023227218407640526,-0.006071318178566432,-0.0062733650371726846,0.014564607937487484,-0.00044899257291453054
2012-01-05,0.011102198842905864,0.011608233077971208,-0.010762933781454875,0.01673092470601345,-0.0016885762699613283,0.011549566168502334,-0.0012219045238506254,-0.00473418690160754,-0.000610560503877533,-0.004191364718259982
2012-01-06,0.01045373049508691,-0.01086066874887126,0.006120293040627445,0.01037988981560134,-0.012264534667327576,-0.005905942901441641,-0.008715600989756989,-0.006342920085154691,-0.0017322560295207623,-0.0024053863378374896
2012-01-09,-0.0015861485520406449,0.0024860854873764993,0.00743395143241643,-0.004009080159825151,0.013594537581248067,0.008713333287105218,0.0015426140785259612,0.0,0.0036738155963309538,0.004219395413206373
2012-01-10,0.003580548390036409,0.005786265165268256,0.006306647184739944,-0.003019073962006402,0.03844119228603371,0.004711134462668909,0.004158296420466945,0.005948122161669067,0.0012203865413422665,-0.0046517799383237746
2012-01-11,-0.0016302939799655025,0.0057531603853420155,-0.0034670789426344273,-0.023466822340231674,0.014542729027561485,0.008206300240694242,-0.0010737580480708608,-0.01845978460240172,-0.003351093864359611,-0.00979941729986089
2012-01-12,-0.002745130534030804,0.014300399136056408,0.010302816977401541,0.0007751640989699382,0.014534766297163326,-0.0019378829226794902,0.0015358298593177722,-0.007199496900343827,0.009781599424285137,0.0019790524363032524
2012-01-13,-0.0037495421122696326,0.002215464910864773,-0.012051859967665668,-0.008520530557972972,-0.02223114055673081,-0.023689310760269144,0.000459809859721938,-0.008583851025505518,-0.008072532163218016,0.0
2012-01-17,0.011648412634177374,0.009244150479735369,0.008579473381678637,0.0020831426328593583,-0.012934502875699527,-0.003977837258722028,-0.0021452206321427303,0.005374076185300947,0.009562589809043898,0.006838142194488528
2012-01-18,0.010383589260195114,0.00677019262492462,-0.002392390894527141,0.014033393861552668,0.06787512181186517,0.01397776380736504,0.0024564350469284957,0.0035632740993820633,0.016323888398416253,0.004487438896704221
2012-01-19,-0.0031696302743852156,0.007713778914528957,0.00666104612820706,0.01076373632613059,0.032307267608419954,0.009452383258621522,-0.0013782136316065063,-0.0020710307264623085,0.007138723475491382,0.0007573015572561737
2012-01-20,-0.017416445545910264,-0.017860720033607835,-0.0005290071644870054,-0.0032961280218197775,0.009843977751952115,0.02926283677953667,0.0012270994067669072,0.009488560004887292,0.001772115983633027,0.002270185456787255
2012-01-23,0.016916435922283535,-0.01199029534216034,-0.00013235265612154823,-0.001526379165894376,-0.005058032863411888,0.012509267816698033,-0.004136795464920073,0.006461842433425513,-0.0019656762746655954,-0.018571650346538404
2012-01-24,-0.01637796748307052,-0.0042474648096808565,-0.00198691091104386,0.0,0.006285217538268384,0.0071134913288943835,0.0,-0.009193292520594754,0.006400242426843894,-0.00769244823311932
2012-01-25,0.06243910447761203,0.019094182640835955,0.006104243659997399,0.007898221589398569,-0.005511166256030764,0.0,0.0033844886816347675,0.007805915035014488,0.00978375770463824,0.007441860008386092
2012-01-26,-0.004544597604329792,-0.0037874206801054022,-0.006726660335103829,-0.005308511884863143,0.0026785696875337717,-0.00557591558550663,0.00735977371372587,-0.006137922290301856,-0.008817108237240467,-0.0027701438535118195
2012-01-27,0.00595978657610674,-0.0026007702439153624,-0.010091125500995224,-0.002541307204856569,0.029568953963892808,-0.0007478859157282747,-0.0021306157161750106,-0.008381076031294787,-0.0018570497032847078,-0.00771602901971713
2012-01-30,0.012810906729489258,-0.014643991336701245,-0.005231603464981305,-0.006624167813409132,-0.01825178513383019,0.0003740716734226268,0.0022881155384253393,0.00029665614987162137,0.01253534455001204,-0.016951695797532862
2012-01-31,0.007659765674886243,0.020765317688318463,0.00026968541667615753,-0.0023081958929782598,0.015857245308054768,-0.011967127043327697,0.003043511071683991,0.0010377496878628545,0.005803474806278297,-0.00268947887620552
2012-02-01,-0.0006350653388761396,0.009573193313430428,0.016042144550998394,0.011053998935398823,0.017762601022405233,0.004920399337408066,-0.003338076845209814,0.004738819200527322,-0.0023082284309361434,0.0026967316790911244
2012-02-02,-0.002345733046391185,0.010667751423081295,-0.0019905398481879777,-0.010678786559138898,-0.0005288273617348738,-0.0022599513189746068,-0.0015221795802428106,-0.0002951009598421983,-0.008963640454920152,0.0017400742122153368
2012-02-03,0.010019346029211063,0.02130570127248621,0.014890060546186135,0.028013163496460214,0.03651106603841936,0.01750362919676074,0.0007621703216602604,0.0036858511455348797,0.006613474969973332,-0.008685924913924725
2012-02-06,0.009332513404606058,-0.00842122892759467,-0.011527973248062096,0.011499986312836885,-0.0011911212691255724,-0.0007476316087970947,-0.006855344704081667,-0.00073466827793911,-0.0003866932396042744,0.01178896523726336
2012-02-07,0.010474751962972206,0.006176528553798244,-0.003444957382699787,0.012852129639623788,-0.01201127468409291,-0.002994064078191916,0.0010738423697613797,0.007643956334148161,0.007442648690360931,0.0029915822326094244
2012-02-08,0.016744201858194474,-0.00939942498784041,0.009362756506212433,0.00707676859693418,0.0014657646990199336,0.00788335902838111,-0.0003068265050008012,-0.0032095149543820423,0.016310107817036013,-0.0009418531812712683
